id,title,url,acceptance,difficulty,premium,like,dislike,tag
131,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning,54.1%,Medium,0,3878.0,122.0,string;dynamic-programming;backtracking;
132,Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii,31.6%,Hard,0,2060.0,59.0,string;dynamic-programming;
133,Clone Graph,https://leetcode.com/problems/clone-graph,41.3%,Medium,0,3408.0,1803.0,hash-table;depth-first-search;breadth-first-search;graph;
134,Gas Station,https://leetcode.com/problems/gas-station,42.3%,Medium,0,3392.0,453.0,array;greedy;
135,Candy,https://leetcode.com/problems/candy,35.2%,Hard,0,1983.0,218.0,array;greedy;
136,Single Number,https://leetcode.com/problems/single-number,67.2%,Easy,0,6696.0,216.0,array;bit-manipulation;
137,Single Number II,https://leetcode.com/problems/single-number-ii,54.7%,Medium,0,2842.0,415.0,array;bit-manipulation;
138,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer,42.9%,Medium,0,5614.0,845.0,hash-table;linked-list;
139,Word Break,https://leetcode.com/problems/word-break,42.5%,Medium,0,7239.0,340.0,string;hash-table;dynamic-programming;trie;memoization;
140,Word Break II,https://leetcode.com/problems/word-break-ii,37.1%,Hard,0,3455.0,447.0,string;hash-table;dynamic-programming;backtracking;trie;memoization;
141,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle,43.6%,Easy,0,4963.0,640.0,hash-table;two-pointers;linked-list;
142,Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii,40.8%,Medium,0,4599.0,331.0,hash-table;two-pointers;linked-list;
143,Reorder List,https://leetcode.com/problems/reorder-list,42.3%,Medium,0,3497.0,155.0,two-pointers;stack;linked-list;recursion;
144,Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal,58.9%,Easy,0,2515.0,93.0,depth-first-search;tree;binary-tree;stack;
145,Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal,59.4%,Easy,0,2822.0,120.0,depth-first-search;tree;binary-tree;stack;
146,LRU Cache,https://leetcode.com/problems/lru-cache,37.3%,Medium,0,9145.0,363.0,hash-table;design;linked-list;doubly-linked-list;
147,Insertion Sort List,https://leetcode.com/problems/insertion-sort-list,45.3%,Medium,0,1164.0,702.0,sorting;linked-list;
148,Sort List,https://leetcode.com/problems/sort-list,47.7%,Medium,0,4641.0,183.0,sorting;two-pointers;linked-list;divide-and-conquer;merge-sort;
149,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line,18.4%,Hard,0,307.0,77.0,hash-table;math;geometry;
150,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation,39.8%,Medium,0,1925.0,551.0,array;math;stack;
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string,25.0%,Medium,0,1820.0,3348.0,string;two-pointers;
152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray,33.2%,Medium,0,7453.0,240.0,array;dynamic-programming;
153,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,46.7%,Medium,0,3873.0,313.0,array;binary-search;
